industry,num_code,full_code,index
公用事业,002267,SZ002267,SH000079
信息技术,002268,SZ002268,SH000077
可选消费,002269,SZ002269,SH000073
工业,002270,SZ002270,SH000072
工业,002271,SZ002271,SH000072
工业,002272,SZ002272,SH000072
信息技术,002273,SZ002273,SH000077
原材料,002274,SZ002274,SH000071
医药卫生,002275,SZ002275,SH000075
工业,002276,SZ002276,SH000072
可选消费,002277,SZ002277,SH000073
能源,002278,SZ002278,SH000070
信息技术,002279,SZ002279,SH000077
通信服务,002281,SZ002281,SH000078
工业,002282,SZ002282,SH000072
可选消费,002283,SZ002283,SH000073
可选消费,002284,SZ002284,SH000073
房地产,002285,SZ002285,SZ399965
主要消费,002286,SZ002286,SH000074
医药卫生,002287,SZ002287,SH000075
信息技术,002289,SZ002289,SH000077
可选消费,002290,SZ002290,SH000073
通信服务,002291,SZ002291,SH000078
可选消费,002292,SZ002292,SH000073
可选消费,002293,SZ002293,SH000073
医药卫生,002294,SZ002294,SH000075
原材料,002295,SZ002295,SH000071
工业,002296,SZ002296,SH000072
工业,002297,SZ002297,SH000072
工业,002298,SZ002298,SH000072
主要消费,002299,SZ002299,SH000074
金融,0023.HK,SZ0023.HK,SH000076
工业,002300,SZ002300,SH000072
工业,002301,SZ002301,SH000072
原材料,002302,SZ002302,SH000071
原材料,002303,SZ002303,SH000071
主要消费,002304,SZ002304,SH000074
房地产,002305,SZ002305,SZ399965
可选消费,002306,SZ002306,SH000073
工业,002307,SZ002307,SH000072
工业,002309,SZ002309,SH000072
工业,002310,SZ002310,SH000072
主要消费,002311,SZ002311,SH000074
原材料,002312,SZ002312,SH000071
通信服务,002313,SZ002313,SH000078
房地产,002314,SZ002314,SZ399965
信息技术,002315,SZ002315,SH000077
信息技术,002316,SZ002316,SH000077
医药卫生,002317,SZ002317,SH000075
原材料,002318,SZ002318,SH000071
原材料,002319,SZ002319,SH000071
工业,002320,SZ002320,SH000072
主要消费,002321,SZ002321,SH000074
信息技术,002322,SZ002322,SH000077
工业,002323,SZ002323,SH000072
原材料,002324,SZ002324,SH000071
原材料,002326,SZ002326,SH000071
可选消费,002327,SZ002327,SH000073
可选消费,002328,SZ002328,SH000073
主要消费,002329,SZ002329,SH000074
主要消费,002330,SZ002330,SH000074
信息技术,002331,SZ002331,SH000077
医药卫生,002332,SZ002332,SH000075
工业,002333,SZ002333,SH000072
工业,002334,SZ002334,SH000072
工业,002335,SZ002335,SH000072
工业,002337,SZ002337,SH000072
工业,002338,SZ002338,SH000072
工业,002339,SZ002339,SH000072
工业,002340,SZ002340,SH000072
工业,002342,SZ002342,SH000072
通信服务,002343,SZ002343,SH000078
工业,002344,SZ002344,SH000072
可选消费,002345,SZ002345,SH000073
工业,002346,SZ002346,SH000072
工业,002347,SZ002347,SH000072
可选消费,002348,SZ002348,SH000073
医药卫生,002349,SZ002349,SH000075
工业,002350,SZ002350,SH000072
信息技术,002351,SZ002351,SH000077
工业,002352,SZ002352,SH000072
能源,002353,SZ002353,SH000070
通信服务,002354,SZ002354,SH000078
可选消费,002355,SZ002355,SH000073
可选消费,002356,SZ002356,SH000073
工业,002357,SZ002357,SH000072
工业,002358,SZ002358,SH000072
原材料,002360,SZ002360,SH000071
原材料,002361,SZ002361,SH000071
信息技术,002362,SZ002362,SH000077
可选消费,002363,SZ002363,SH000073
工业,002364,SZ002364,SH000072
医药卫生,002365,SZ002365,SH000075
工业,002366,SZ002366,SH000072
工业,002367,SZ002367,SH000072
信息技术,002368,SZ002368,SH000077
通信服务,002369,SZ002369,SH000078
医药卫生,002370,SZ002370,SH000075
信息技术,002371,SZ002371,SH000077
工业,002372,SZ002372,SH000072
信息技术,002373,SZ002373,SH000077
原材料,002374,SZ002374,SH000071
工业,002375,SZ002375,SH000072
信息技术,002376,SZ002376,SH000077
原材料,002377,SZ002377,SH000071
原材料,002378,SZ002378,SH000071
原材料,002379,SZ002379,SH000071
信息技术,002380,SZ002380,SH000077
原材料,002381,SZ002381,SH000071
医药卫生,002382,SZ002382,SH000075
通信服务,002383,SZ002383,SH000078
信息技术,002384,SZ002384,SH000077
主要消费,002385,SZ002385,SH000074
原材料,002386,SZ002386,SH000071
信息技术,002387,SZ002387,SH000077
信息技术,002388,SZ002388,SH000077
工业,002389,SZ002389,SH000072
医药卫生,002390,SZ002390,SH000075
原材料,002391,SZ002391,SH000071
原材料,002392,SZ002392,SH000071
医药卫生,002393,SZ002393,SH000075
可选消费,002394,SZ002394,SH000073
原材料,002395,SZ002395,SH000071
通信服务,002396,SZ002396,SH000078
可选消费,002397,SZ002397,SH000073
原材料,002398,SZ002398,SH000071
医药卫生,002399,SZ002399,SH000075
通信服务,002400,SZ002400,SH000078
信息技术,002401,SZ002401,SH000077
信息技术,002402,SZ002402,SH000077
可选消费,002403,SZ002403,SH000073
可选消费,002404,SZ002404,SH000073
信息技术,002405,SZ002405,SH000077
可选消费,002406,SZ002406,SH000073
原材料,002407,SZ002407,SH000071
原材料,002408,SZ002408,SH000071
信息技术,002409,SZ002409,SH000077
信息技术,002410,SZ002410,SH000077
医药卫生,002412,SZ002412,SH000075
工业,002413,SZ002413,SH000072
工业,002414,SZ002414,SH000072
信息技术,002415,SZ002415,SH000077
可选消费,002416,SZ002416,SH000073
可选消费,002418,SZ002418,SH000073
可选消费,002419,SZ002419,SH000073
可选消费,002420,SZ002420,SH000073
信息技术,002421,SZ002421,SH000077
医药卫生,002422,SZ002422,SH000075
金融,002423,SZ002423,SH000076
医药卫生,002424,SZ002424,SH000075
通信服务,002425,SZ002425,SH000078
信息技术,002426,SZ002426,SH000077
原材料,002427,SZ002427,SH000071
原材料,002428,SZ002428,SH000071
可选消费,002429,SZ002429,SH000073
原材料,002430,SZ002430,SH000071
工业,002431,SZ002431,SH000072
医药卫生,002432,SZ002432,SH000075
可选消费,002434,SZ002434,SH000073
信息技术,002436,SZ002436,SH000077
医药卫生,002437,SZ002437,SH000075
工业,002438,SZ002438,SH000072
信息技术,002439,SZ002439,SH000077
原材料,002440,SZ002440,SH000071
工业,002441,SZ002441,SH000072
原材料,002442,SZ002442,SH000071
原材料,002443,SZ002443,SH000071
工业,002444,SZ002444,SH000072
工业,002445,SZ002445,SH000072
通信服务,002446,SZ002446,SH000078
可选消费,002448,SZ002448,SH000073
信息技术,002449,SZ002449,SH000077
工业,002451,SZ002451,SH000072
工业,002452,SZ002452,SH000072
原材料,002453,SZ002453,SH000071
可选消费,002454,SZ002454,SH000073
原材料,002455,SZ002455,SH000071
信息技术,002456,SZ002456,SH000077
原材料,002457,SZ002457,SH000071
主要消费,002458,SZ002458,SH000074
工业,002459,SZ002459,SH000072
原材料,002460,SZ002460,SH000071
主要消费,002461,SZ002461,SH000074
医药卫生,002462,SZ002462,SH000075
信息技术,002463,SZ002463,SH000077
通信服务,002465,SZ002465,SH000078
原材料,002466,SZ002466,SH000071
信息技术,002467,SZ002467,SH000077
工业,002468,SZ002468,SH000072
原材料,002469,SZ002469,SH000071
原材料,002470,SZ002470,SH000071
工业,002471,SZ002471,SH000072
可选消费,002472,SZ002472,SH000073
信息技术,002474,SZ002474,SH000077
信息技术,002475,SZ002475,SH000077
原材料,002476,SZ002476,SH000071
原材料,002478,SZ002478,SH000071
公用事业,002479,SZ002479,SH000079
工业,002480,SZ002480,SH000072
主要消费,002481,SZ002481,SH000074
工业,002482,SZ002482,SH000072
工业,002483,SZ002483,SH000072
信息技术,002484,SZ002484,SH000077
工业,002485,SZ002485,SH000072
可选消费,002486,SZ002486,SH000073
工业,002487,SZ002487,SH000072
可选消费,002488,SZ002488,SH000073
可选消费,002489,SZ002489,SH000073
能源,002490,SZ002490,SH000070
通信服务,002491,SZ002491,SH000078
能源,002492,SZ002492,SH000070
原材料,002493,SZ002493,SH000071
可选消费,002494,SZ002494,SH000073
主要消费,002495,SZ002495,SH000074
原材料,002496,SZ002496,SH000071
原材料,002497,SZ002497,SH000071
工业,002498,SZ002498,SH000072
工业,0025.HK,SZ0025.HK,SH000072
金融,002500,SZ002500,SH000076
原材料,002501,SZ002501,SH000071
工业,002506,SZ002506,SH000072
主要消费,002507,SZ002507,SH000074
可选消费,002508,SZ002508,SH000073
可选消费,002510,SZ002510,SH000073
主要消费,002511,SZ002511,SH000074
可选消费,002512,SZ002512,SH000073
工业,002513,SZ002513,SH000072
工业,002514,SZ002514,SH000072
主要消费,002515,SZ002515,SH000074
可选消费,002516,SZ002516,SH000073
通信服务,002517,SZ002517,SH000078
工业,002518,SZ002518,SH000072
工业,002519,SZ002519,SH000072
工业,002520,SZ002520,SH000072
原材料,002521,SZ002521,SH000071
原材料,002522,SZ002522,SH000071
工业,002523,SZ002523,SH000072
医药卫生,002524,SZ002524,SH000075
工业,002526,SZ002526,SH000072
工业,002527,SZ002527,SH000072
信息技术,002528,SZ002528,SH000077
可选消费,002529,SZ002529,SH000073
工业,002530,SZ002530,SH000072
工业,002531,SZ002531,SH000072
原材料,002532,SZ002532,SH000071
工业,002533,SZ002533,SH000072
工业,002534,SZ002534,SH000072
工业,002535,SZ002535,SH000072
可选消费,002536,SZ002536,SH000073
可选消费,002537,SZ002537,SH000073
原材料,002538,SZ002538,SH000071
原材料,002539,SZ002539,SH000071
可选消费,002540,SZ002540,SH000073
工业,002541,SZ002541,SH000072
工业,002542,SZ002542,SH000072
可选消费,002543,SZ002543,SH000073
通信服务,002544,SZ002544,SH000078
原材料,002545,SZ002545,SH000071
工业,002546,SZ002546,SH000072
可选消费,002547,SZ002547,SH000073
主要消费,002548,SZ002548,SH000074
工业,002549,SZ002549,SH000072
医药卫生,002550,SZ002550,SH000075
医药卫生,002551,SZ002551,SH000075
信息技术,002552,SZ002552,SH000077
可选消费,002553,SZ002553,SH000073
能源,002554,SZ002554,SH000070
通信服务,002555,SZ002555,SH000078
工业,002556,SZ002556,SH000072
主要消费,002557,SZ002557,SH000074
通信服务,002558,SZ002558,SH000078
工业,002559,SZ002559,SH000072
工业,002560,SZ002560,SH000072
